,0
0,6
1,15
2,15
3,16
4,42
5,448
6,558
7,542
8,557
9,484
10,514
11,474
12,486
13,520
14,437
15,458
16,538
17,523
18,471
19,442
20,483
21,510
22,491
23,497
24,431
25,424
26,521
27,502
28,463
29,401
30,435
31,436
32,470
33,465
34,404
35,503
36,421
37,483
38,482
39,439
40,368
41,426
42,393
43,457
44,418
45,431
46,450
47,477
48,471
49,366
50,411
51,500
52,503
53,430
54,502
55,476
56,423
57,473
58,536
59,440
60,467
61,458
62,512
63,529
64,525
65,501
66,465
67,556
68,193
69,136
70,118
71,113
72,108
73,105
74,113
75,1433
76,90
77,72
78,1413
79,108
80,101
81,109
82,110
83,113
84,136
85,198
86,237
87,23
88,21
89,29
90,38
91,39
92,26
93,20
94,60
95,58
96,50
97,52
98,14
99,14
100,16
101,7
102,3
103,1
104,1
105,0
106,0
107,0
