,0
id_001f94081,49
id_006f36f57,56
id_00ab2d761,31
id_00abef1d7,12
id_00b436dec,10
id_010ab0472,37
id_0172c2cb6,26
id_0197d5afb,66
id_01b53b647,18
id_01ccf95c0,34
id_01e2cf40a,2
id_01f38f83d,60
id_020af5561,45
id_0211b293a,36
id_023f91e97,40
id_02612d250,52
id_02949f9a6,35
id_0295caf90,44
id_02bda376d,9
id_02c0278e3,34
id_031276afd,39
id_031500f63,29
id_032386617,44
id_035b55616,61
id_038b5053f,15
id_038b7f371,44
id_03a428713,35
id_03c9360c3,43
id_03e7df12c,16
id_03ead2efd,12
id_040ce1936,41
id_042105873,28
id_044180f0f,28
id_04e8d7ce2,29
id_0509928c0,41
id_0515a9903,15
id_062b5d830,13
id_06375c2e7,25
id_06581dc09,36
id_066f0ad26,2
id_06913857e,39
id_06e797132,8
id_07256d451,48
id_0728c7bd4,42
id_073e10df7,35
id_0756c91f5,8
id_0757e351b,12
id_0772185a8,19
id_07a3806c1,24
id_07dcc5ff8,10
id_07f301467,59
id_07fff2f9b,19
id_0819df711,22
id_083261c0f,12
id_084fb203e,6
id_0863fc10f,44
id_088cef62f,44
id_089dd359b,44
id_08b44c4e2,20
id_08db26f2e,12
id_08e719d62,8
id_091c9fbe9,42
id_092395284,22
id_094a86648,17
id_09648efcb,8
id_0977d33f5,60
id_099a8a149,19
id_09dfcf08b,40
id_0a014457e,12
id_0a22a39dd,2
id_0a2bbe37e,29
id_0a42c8a30,6
id_0b31f9681,17
id_0b3a651e9,23
id_0b410ccec,10
id_0b46b8f03,43
id_0b4cd1e16,58
id_0b4f6be68,63
id_0bff1d34c,45
id_0c0985d2f,17
id_0c121310f,12
id_0c1a25090,4
id_0c3fe0aa9,52
id_0c673c2d6,49
id_0ca4577ee,15
id_0cae35829,35
id_0cc3c1484,12
id_0cca65cd6,19
id_0cd15dd2e,10
id_0cf11b852,36
id_0d66bbdb4,34
id_0d94c5e0e,48
id_0db80aaad,6
id_0dbcda49b,13
id_0de111baa,47
id_0de367e40,42
id_0de71eea3,45
id_0deb6f117,18
id_0e0aa9715,6
id_0e0c3a639,9
id_0e4715ffc,28
id_0e48c5c14,2
id_0ec622c6b,40
id_0f0c106e6,10
id_0f1f87d49,43
id_0f8376eb4,4
id_0f88bf7fa,36
id_0f89f3e55,6
id_0fb3aa279,32
id_0fb6b8966,31
id_0ffc9f8ee,24
id_1066c9452,34
id_10a8994e9,10
id_10c26f92c,43
id_10d10309f,32
id_10fb5c937,6
id_10fddc4cc,11
id_1109d5dc8,29
id_1123fd606,2
id_1162da429,48
id_116a7b9cc,67
id_118651cb4,43
id_119aa2f18,17
id_11a42b57c,63
id_124f888ee,49
id_12533405a,50
id_12580b51b,44
id_1295a387d,17
id_12ce33482,50
id_12e4551de,12
id_13bb36759,27
id_13bcaac2e,58
id_13e7cdb34,39
id_13ee5d47c,25
id_140f75584,24
id_14ae966ad,49
id_14bfd610e,44
id_14d8fc8b1,4
id_14f75757e,11
id_14f75d7d5,43
id_14fd8d915,28
id_155a41a08,64
id_159f0ff46,50
id_15ac1f0d2,54
id_15ad2f59b,10
id_15c0d8f45,29
id_15c601e33,7
id_15c73f7f9,10
id_15c7d917a,14
id_160c1cc62,41
id_161942309,12
id_162706431,21
id_163ada4c7,12
id_1662281c2,4
id_166ef3ca3,22
id_16b430b4b,54
id_171a19e7e,6
id_172dff66c,26
id_174e4f1d5,18
id_177cd630b,38
id_17a9ad5b7,8
id_17f2cedf2,9
id_1850700c5,33
id_18820f795,4
id_1887c4b8c,8
id_1898122a5,22
id_18cea7633,8
id_18d3d1dda,25
id_18dff836a,31
id_18ffb89cd,15
id_190a676ad,37
id_19581cbc3,2
id_196b512a8,54
id_19d4c60f2,2
id_19f519f16,4
id_1a087e8dc,42
id_1aad4f3e0,42
id_1abf939e4,50
id_1ad0b0bfe,60
id_1ad806f77,39
id_1aea9d2f3,4
id_1b072023e,60
id_1b2d2589a,44
id_1b6cb31be,34
id_1b7d24ce3,23
id_1b917b4a7,48
id_1bb2f1786,24
id_1bb6c57ab,43
id_1bd260b05,46
id_1c0081a79,16
id_1c0ded083,57
id_1c0f063bd,7
id_1c529c5cd,2
id_1c5918a27,10
id_1c9391392,13
id_1cab23f88,24
id_1ce902961,23
id_1cf4a77ef,8
id_1d4a54b6a,45
id_1d59fdb08,53
id_1daedbf73,15
id_1e01c448c,2
id_1e03a2cb5,30
id_1e3482afd,4
id_1e65067c9,8
id_1e833c670,57
id_1e8eae443,57
id_1ed1f1a9d,54
id_1f465a329,10
id_1f72af0d3,31
id_1fad695fe,12
id_1fbe2826b,6
id_1fda263b3,25
id_1fefbcbfc,43
id_1ff2ab113,18
id_200e26389,16
